"ID"|"Group"|"No"|"Title"|"Description"|"Image"|"Download_lbl"|"Download_lnk"
1010|"Conference Publications"|"18"|"Introduction of European Soil Portal and Soil Mapping"|"Introduction of European Soil Portal and Soil Mapping Panagos, P., Montanarella, L and Van Liedekerke, M. . Pages 95 - 99 Proceedings of the 9th International Conference of the East and Southeast Asia Federation of Soil Science Societies (ESAFS9), Symposium on Asia-Centric Soil Informatics . 27 october - 28 October 2009, Seoul, Korea. The European Soil Portal is the joint contribution of the European Commission and the European Soil Bureau Network (ESBN) to the building of a thematic spatial data infrastructure for soils. This portal, located at http://eusoils.jrc.ec.europa.eu , is the place in which all relevant data and information regarding soils at European level has been collected. It serves also as a vehicle to promote the activities of the European Soil Bureau Network. Spatial data collection and processing within this infrastructure is performed according to emerging ideas behind the INSPIRE Directive 2007/2/EC of the European Parliament and of the Council of 14 March 2007 establishing an Infrastructure for Spatial Information in the European Community. INSPIRE deals, among others, with difficulties to identify, access and use available spatial information in Europe. The European Soil Portal has been considered as a success story of networking different soil information in European level. It is mainly built around the European Soil Database (ESDB), which consists of a number of components of which the Soil Geographical Database of Eurasia (SGDBE) at Scale 1:1,000,000 is one. It is a representation of the diversity and spatial variability of the soil coverage across Europe and its neighbouring countries. Download the Article: Introduction of European Soil Portal and Soil Mapping Last Update: 3/11/2009"|""|"Introduction of European Soil Portal and Soil Mapping"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/ESAFS2009.pdf"
1011|"Conference Publications"|"17"|"Soil Protection Activities and Soil Quality Monitoring in South Eastern Europe."|"Soil Protection Activities and Soil Quality Monitoring in South Eastern Europe. Soil Protection Activities and Soil Quality Monitoring in South Eastern Europe The Conference corresponds with the 60th anniversary work of Dr. Husnija Resulovic, Prof. Emeritus June 18 - 19, 2009 , SARAJEVO, BOSNIA and HERZEGOVINA In the last decade soil and soil protection conferences are becoming recognized as an important environmental topics. The number of recent soil thematic conferences reflects the concern of the scientific community to stress the threats and impose adequate measures for soil protection and preservation. There is a common consensus among the scientists that soil truly is a vital natural resource. By connecting air and water soil is providing essential goods and services and as such represents a fundamental part of terrestrial ecosystems. Western Balkans region is characterized by the extreme diversity of geomorphological conditions. Additionally to geology and relief Alpine, Continental and Mediterranean climates are significantly directing the soil formation processes. The Western Balkans region are facing the same threats as in other parts of European continent. Contamination, sealing, salinization, compaction, erosion and land slides are common in the region. This occasion in Sarajevo is a chance to present the status of soil quality, to review the severity of threats the soil is exposed to and exchange the information on soil protection activities in the Western Balkans and some neighboring states. Download the Abstracts of the Proceedings: Soil Protection Activities and Soil Quality Monitoring in South Eastern Europe. Last Update: 13/08/2009"|""|"Soil Protection Activities and Soil Quality Monitoring in South Eastern Europe."|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/SoilSocietyBH.pdf"
1012|"Conference Publications"|"16"|"Soils, Society & Global Change."|"Soils, Society & Global Change. Proceedings of the International Forum Celebrating the Centenary of Conservation and Restoration of Soil and Vegetation in Iceland Edited by Harriet Bigas, Gudmundur Ingi Gudbrandsson, Luca Montanarella and Andrés Arnalds. 31 August - 4 September 2007, Selfoss, Iceland. This book highlights how our ability to manage soils plays an important role in global challenges such as climate change, biodiversity reduction, food and water security, and economic and social progress. It explores policy and legal challenges, knowledge management issues, and the crucial role of soil in the successful implementation of the global environmental conventions. The book concludes with the Programme for Action which includes a number of proactive recommendations on how global policies can be improved to protect soil as a resource. The context for this book is the 2007 centennial celebrations of organized conservation and restoration of soil and vegetation in Iceland. As Europe's northernmost nation, Iceland historically suffered acute land degradation problems and through a century of perseverance has now become a world leader in soil restoration research and techniques. A number of international partners and world-class experts on a variety of pertinent fields gathered in Selfoss, Iceland to join in an International Forum. This book outlines the groundbreaking ideas developed by these experts to address the global soil problems and innovative ways to address the combined challenges of soil, society and global change. Download the Proceedings: Soils, Society & Global Change. Last Update: 30/06/2009"|""|"Soils, Society & Global Change."|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/EUR23784.pdf"
1013|"Conference Publications"|"15"|"Landslide susceptibility mapping at 1:1M scale over France."|"Landslide susceptibility mapping at 1:1M scale over France. Malet, J.-P., Thiery, Y., Puissant, A., Hervás, J., Guenther, A., Grandjean, G., 2009.. Geophysical Research Abstracts, 11, EGU2009-3274. Download the abstract: Landslide susceptibility mapping at 1:1M scale over France"|""|"Landslide susceptibility mapping at 1:1M scale over France"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/EGU2009-3274.pdf"
1014|"Conference Publications"|"14"|"Approaches for Delineating Areas Susceptible to Landslides in the Framework of the European Soil Thematic Strategy."|"Approaches for Delineating Areas Susceptible to Landslides in the Framework of the European Soil Thematic Strategy. Günther, A., Reichenbach, P., Hervás, J., 2008. Proceedings of the First World Landslide Forum, Tokyo, 18-21 November 2008, pp. 235-238. Download the Paper: Approaches for Delineating Areas Susceptible to Landslides in the Framework of the European Soil Thematic Strategy"|""|"Approaches for Delineating Areas Susceptible to Landslides in the Framework of the European Soil Thematic Strategy"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/WLF_conference_paper.pdf"
1015|"Conference Publications"|"13"|"Desertification in Europe (15th International Congress, Budapest, Hungary)."|"Desertification in Europe (15th International Congress, Budapest, Hungary). Montanarella, L. and G. Tóth 2008. 15th Congress of the International Soil Conservation Organization. 18-23 May, 2008. Budapest. Download the Article: Desertification in Europe from the Proceedings Volume Publised by the Geographycal Research Institute, Hungary ISBN 978 963 9545 20 5. Attached is also the Presentation ""Desertification in Europe"""|""|"Desertification in Europe;Presentation ""Desertification in Europe"""|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/Desertification_Europe.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/Desertification_in_Europe_v2.pdf"
1016|"Conference Publications"|"12"|"Landslide ground based remote sensing monitoring: Formigal case study (Huesca, Spain)."|"Landslide ground based remote sensing monitoring: Formigal case study (Huesca, Spain). Herrera, G., Ponce de León, D., Mulas, J., Llorente, M., Hervás, J., Luzi, G., Mecatti, D., Noferini, L., Macaluso, G., Pieraccini, M., Tamburini, A., Federici, P., 2007. Geophysical Research Abstracts, 9, EGU2007-A-07945. Download the Abstract: Landslide ground based remote sensing monitoring: Formigal case study (Huesca, Spain)."|""|"Landslide ground based remote sensing monitoring: Formigal case study (Huesca, Spain)."|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/EGU2007-J-07945-1.pdf"
1017|"Conference Publications"|"11"|"Ground Based SAR and Terrestrial Laser Scanner data for the analysis of the Formigal landslide; the GALAHAD project test site in the Spanish Pyrenees."|"Ground Based SAR and Terrestrial Laser Scanner data for the analysis of the Formigal landslide; the GALAHAD project test site in the Spanish Pyrenees. Herrera, G., Ponce de León, D., Mulas, J., Llorente, M., Hervás, J., Noferini, L., Mecatti, D., Macaluso, G., Tamburini, A., Federici, P., 2007. 7th Geomatics Week, Barcelona, Spain, 20-23 February 2007, CD-ROM, 2 pp. Download the Article: Ground Based SAR and Terrestrial Laser Scanner data for the analysis of the Formigal landslide; the GALAHAD project test site in the Spanish Pyrenees."|""|"Ground Based SAR and Terrestrial Laser Scanner data for the analysis of the Formigal landslide; the GALAHAD project test site in the Spanish Pyrenees."|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/7thGW_2007.pdf"
1018|"Conference Publications"|"10"|"Towards a common approach for mapping areas susceptible to landslides in Europe."|"Towards a common approach for mapping areas susceptible to landslides in Europe. Hervás, J., Günther, A., Reichenbach, P., Guzzetti, F., Chacón, J., Pasuto, A., Trigila, A., Malet, J.-P., Tagliavini, F., 2008. Geophysical Research Abstracts, 10, EGU2008-A-12200. Download the Abstract: Towards a common approach for mapping areas susceptible to landslides in Europe"|""|"Towards a common approach for mapping areas susceptible to landslides in Europe"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/EGU2008-A-12200-1.pdf"
1019|"Conference Publications"|"9"|"The European Soil Information System (EUSIS)"|"The European Soil Information System (EUSIS) EUROPEAN SOIL BUREAU, EUROPEAN COMMISSION , Food and Agriculture Organization of the United Nations. This document contains the proceedings of a technical consultation on the soil resources information systems developed in the various countries in the European region and their incorporation in the European Soil Information System (EUSIS). A summary report of technical discussions, conclusions and recommendations and individual country reports are included. Proceedings of a Technical Consultation, Rome, Italy, 2-3 September 1999 Rome, 2000, © Sponsored by FAO and the European Commission, ISBN 92-5-104454-6 Download the Report: The European Soil Information System"|""|"The European Soil Information System"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/EUSIS.pdf"
1020|"Conference Publications"|"8"|"The European Soil Information System (EUSIS)"|"The European Soil Information System (EUSIS) EUROPEAN SOIL BUREAU, EUROPEAN COMMISSION , Food and Agriculture Organization of the United Nations. This document contains the proceedings of a technical consultation on the soil resources information systems developed in the various countries in the European region and their incorporation in the European Soil Information System (EUSIS). A summary report of technical discussions, conclusions and recommendations and individual country reports are included. Proceedings of a Technical Consultation, Rome, Italy, 2-3 September 1999 Rome, 2000, © Sponsored by FAO and the European Commission, ISBN 92-5-104454-6 Download the Report: The European Soil Information System"|""|"The European Soil Information System"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/EUSIS.pdf"
1021|"Conference Publications"|"7"|"Monitoring during time of relapses of an incineration plant."|"Monitoring during time of relapses of an incineration plant. R.M. CENCI, F. SENA, N. FILIPPI, G. UMLAUF, G. LODIGIANI, W. GAULIO, L. MUSMECI, A. BENEDETTI AND R. JONES The principal purpose of this study is to quantify the baseline or ""zero"" levels of trace elements prior to the start up of the incineration plant of Parona (Pv) Proceedings Sardinia 2007, Eleventh International Waste Management and Landfill Symposium S. Margherita di Pula, Cagliari, Italy; 1 - 5 October 2007, © 2007 by CISA, Environmental Sanitary Engineering Centre, Italy Look for the article: Proceedings, pp 715 - 721, 2007"|""|"Proceedings, pp 715 - 721, 2007"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/Sardinia_2007_3159.pdf"
1022|"Conference Publications"|"6"|"Soils, Mosses, Biodiversity and bio-indicators evaluate the state of soils in Pavia Province."|"Soils, Mosses, Biodiversity and bio-indicators evaluate the state of soils in Pavia Province. R.M Cenci Environmental monitoring of landfills sites is important to indirectly assess the corect functioning of waste disposal systems. Societa Italiana della Scienza del Suolo, Bari, 21-24 June 2005 Look for the article: Proceedings, pp 467 - 476, 2005"|""|"Proceedings, pp 467 - 476, 2005"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/3156.pdf"
1023|"Conference Publications"|"5"|"Soils and Mosses for the monitoring of trace elements in Three landfills."|"Soils and Mosses for the monitoring of trace elements in Three landfills. R.M Cenci, P.R Trincherini, et Al. Environmental monitoring of landfills sites is important to indirectly assess the corect functioning of waste disposal systems. SARDINIA 2005, Tenth International Waste Management and Landfill Symposium, Sardinia, Italy. 3-7 October 2005 Look for the article: Sardinia 2005 Proceedings"|""|"Sardinia 2005 Proceedings"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/3143.pdf"
1024|"Conference Publications"|"4"|"Use of Mosses and Soils for the monitoring of trace elements in three elements in three landfills, used as urban waste disposal sites."|"Use of Mosses and Soils for the monitoring of trace elements in three elements in three landfills, used as urban waste disposal sites. R.M Cenci, F. Sena, et Al. Environmental monitoring of landfills sites is important to indirectly assess the corect functioning of waste disposal systems. SARDINIA 2003, Ninth International Waste Management and Landfill Symposium, Sardinia, Italy. 6- 10 October 2003 Look for the article: Sardinia 2003 Proceedings"|""|"Sardinia 2003 Proceedings"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/3118.pdf"
1025|"Conference Publications"|"3"|"Control of an area at potential risk from incineration plants before their start up and during the operation"|"Control of an area at potential risk from incineration plants before their start up and during the operation R.M Cenci, L. Musmeci, F. Sena, G. Lodigiani, P. Anelli and A. Soresini. The most wide spread systems employed in waste management are the disposal in landfill and the incineration. It seems to be that incineration is the less dangerous choice....... SARDINIA 2003, Ninth International Waste Management and Landfill Symposium, Sardinia, Italy. 6-10 October 2003 Look for the article: Sardinia 2003 Proceedings"|""|"Sardinia 2003 Proceedings"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/3117.pdf"
1026|"Conference Publications"|"2"|"Distribution of heavy metals and radio-elements in soils and mosses of an area of rubbish dump of the Appennino Reggiano (Distribuzione di metalli pesanti e radionuclidi in suoli e muschi di un'area di discarica dell' Appennino Reggiano)"|"Distribution of heavy metals and radio-elements in soils and mosses of an area of rubbish dump of the Appennino Reggiano (Distribuzione di metalli pesanti e radionuclidi in suoli e muschi di un'area di discarica dell' Appennino Reggiano) R.M Cenci et Al. La scienza del suolo per l' ambiente (Convegno Nazionale), Venice, Italy. 12-16 June 2000 Look for the article: Proceedings, pp. 333 - 340, 2000"|""|"Proceedings, pp. 333 - 340, 2000"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/375.pdf"
1027|"Conference Publications"|"1"|"Poiatica(RE) Landfill: Evaluation of Heavy metal depositions in the last eight years using indigenous mosses."|"Poiatica(RE) Landfill: Evaluation of Heavy metal depositions in the last eight years using indigenous mosses. R.M Cenci et Al. Poiatica(RE) Landfill: Evaluation of Heavy metal depositions in the last eight years using indigenous mosses SIDISA 2000 - International Symposium on Sanitary and Environmental Engineering, Trento, Italy. 18-23 September 2000. Look for the article: Proceedings, Vol. 3. pp. 193 - 198, 2000"|""|"Proceedings, Vol. 3. pp. 193 - 198, 2000"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Conf/368.pdf"
