"ID"|"Group"|"No"|"Title"|"Description"|"Image"|"Download_lbl"|"Download_lnk"
2010|"Poster Publications"|"22"|"Heavy metals in European soils: a geostatistical analysis of the FOREGS Geochemical database"|"Heavy metals in European soils: a geostatistical analysis of the FOREGS Geochemical database H. I. Reuter This poster presents an approach using Digital Soil Mapping Techniques to map in a objective way using data from the excellent FOREGS Database a number of geochemical properties at the european level. Paper is under review. Heavy metals in European soils: a geostatistical analysis of the FOREGS Geochemical database. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/FOREGS.jpg"|"Heavy metals in European soils: a geostatistical analysis of the FOREGS Geochemical database.;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/FOREGS.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/FOREGS.pdf"
2011|"Poster Publications"|"21"|"Forecasting wind erosion events in Europe - first results of a reanalysis"|"Forecasting wind erosion events in Europe - first results of a reanalysis H. I. Reuter Forecasting wind erosion events is a interesting field of research and has huge potential for different fields. First results of an implementation of such a system are presented. Forecasting wind erosion events in Europe - first results of a reanalysis. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/WindErosion.jpg"|"Forecasting wind erosion events in Europe - first results of a reanalysis.;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/WindErosion.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/WindErosion.pdf"
2012|"Poster Publications"|"20"|"Using DSM data for modeling wind erosion events- Bridging the gap between DSM and DSA"|"Using DSM data for modeling wind erosion events- Bridging the gap between DSM and DSA H. I. Reuter, F.Carre, T.Hengl, L.Montanarella This poster presents an approach using Digital Soil Mapping Techniques to assess the wind erosion risk for a climate scenario and a reference scenario within a Digital Soil Assessment workflow. Uncertanities and differences to traditional soil databases are highlighted. Using DSM data for modeling wind erosion events- Bridging the gap between DSM and DSA. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/pedo2007.jpg"|"Using DSM data for modeling wind erosion events- Bridging the gap between DSM and DSA.;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/pedo2007.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/pedo2007.pdf"
2013|"Poster Publications"|"19"|"Modelling Arsenic Hazard in Groundwater in Cambodia: a Geostatistical Approach using Ancillary Data"|"Modelling Arsenic Hazard in Groundwater in Cambodia: a Geostatistical Approach using Ancillary Data Luis Rodriguez-Lado & David Polya. Arsenic in shallow groundwaters extensively utilized for drinking, irrigation and/cooking in many parts of the world, including Cambodia, represents a major environmental hazard The goal of this work is to develop a spatial model to estimate As concentration in groundwater in Cambodia and hence predict areas of high As hazard as tool to inform the development of adequate measurements to reduce risks to human health. The study revealed that there is a strong correlation between topographic environmental variables and the content of As in groundwater Modelling Arsenic Hazard in Groundwater in Cambodia: a Geostatistical Approach using Ancillary Data. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/Model_Arsenic.jpg"|"Modelling Arsenic Hazard in Groundwater in Cambodia: a Geostatistical Approach using Ancillary Data.;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Model_Arsenic.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Model_Arsenic.pdf"
2014|"Poster Publications"|"18"|"Main Soil Factors influencing the plant growth in Europe"|"Main Soil Factors influencing the plant growth in Europe Beata Houskova & Luca Montanarella. Data included in soil databases can serve as direct or indirect indicators of plant growth conditions. This information includes soil, as well as non soil data. An example of such type of data collection is the 1:1M soil database, which represents the result of cooperation among the European Soil Bureau Network (ESBN) and the European Commission. Main Soil Factors influencing the plant growth in Europe. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/Praha_poster.jpg"|"Main Soil Factors influencing the plant growth in Europe;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Praha_poster.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Praha_poster.pdf"
2015|"Poster Publications"|"17"|"The use of mosses as biondicators in order to draw up the environmental impact study for a urban waste landfill"|"The use of mosses as biondicators in order to draw up the environmental impact study for a urban waste landfill R. M. Cenci et Al. The Environmental Impact Assessment(EIA) has been adopted in italy for many years, therefore not all the Regions have issued their onw environmental law in order to apply the EIA for the different projects foreseen. The use of mosses as biondicators in order to draw up the environmental impact study for a urban waste landfill. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/Poiatica5.jpg"|"The use of mosses as biondicators in order to draw up the environmental impact study for a urban waste landfill.;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Poiatica5.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Poiatica5.pdf"
2016|"Poster Publications"|"16"|"Limits and progresses of bio-indication bryophyte in the Mediterranean area"|"Limits and progresses of bio-indication bryophyte in the Mediterranean area M. Privitera & R. M. Cenci (2007) Limiti e progressi della bioindicazione briofitica nell' area Mediterranea. Bioindicazione, Biomonitoraggio, Bioindicatori si riferiscono alle recenti tematiche di ricerca riguardanti il monitoraggio dell’inquinamento atmosferico, del suolo, dell’acqua. Limits and progresses of bio-indication bryophyte in the Mediterranean area. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/Bioindicazione2007.jpg"|"Limits and progresses of bio-indication bryophyte in the Mediterranean area;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Bioindicazione2007.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Bioindicazione2007.pdf"
2017|"Poster Publications"|"15"|"European Soil Visual Assessment – Field Guide"|"European Soil Visual Assessment – Field Guide B. Houskova and L. Montanarella (2007) Visual Soil Assessment (VSA) is the direct evaluation of those soil properties which are visible by the naked eye and can be evaluated directly in the field. Basically, soil properties depend on texture and soil type. European Soil Visual Assessment – Field Guide. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/Visual_Assessment.jpg"|"European Soil Visual Assessment – Field Guide;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Visual_Assessment.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Visual_Assessment.pdf"
2018|"Poster Publications"|"14"|"Parent Material as a source of natural background values in soils"|"Parent Material as a source of natural background values in soils B. Houskova and L. Montanarella (2005) The map 1:1M for Euroasia was build up according to Soil Geographical Database for Eurasia & the Mediterranean instruction guide. Structure of database is formed by Soil Mapping Units (SMU), which comprise from one or more Soil Typological Units(STU). Parent material is studied at four levels: major class, group, type and subtype. Parent Material as a source of natural background values in soils. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/ParentMaterial.jpg"|"Parent Material as a source of natural background values in soils;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/ParentMaterial.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/ParentMaterial.pdf"
2019|"Poster Publications"|"13"|"Towards a Multi-scale European Soil Information System"|"Towards a Multi-scale European Soil Information System M. Van Liedekerke, P. Panagos, L. Montanarella and N. Filippi (2007) The Multi-Scale Soil Information System constitutes a suitable framework for the building of a nested system of soil data and facilitates interoperability through a common coordinate reference system, a unique grid coding system, a set of detailed and standardized metadata and an exchangeable and open format. Towards a Multi-scale European Soil Information System. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/meusis.jpg"|"Towards a Multi-scale European Soil Information System;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/meusis.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/meusis.pdf"
2020|"Poster Publications"|"12"|"Analysis of Heavy Metal Concentrations in Soil Profiles: Necessity of a Typology"|"Analysis of Heavy Metal Concentrations in Soil Profiles: Necessity of a Typology Luis Rodríguez-Lado, Florence Carré & Luca Montanarella (2006) Heavy metal contents in this soil is heterogeneous. Since the soils include in this study are mainly derived from lime rocks, we observed that most of the samples have HM concentrations lower than the thresholds fixed in the European legislation for soil pH > 7 Analysis of Heavy Metal Concentrations in Soil Profiles: Necessity of a Typology. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/Heavy_Metal.jpg"|"Analysis of Heavy Metal Concentrations in Soil Profiles: Necessity of a Typology;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Heavy_Metal.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Heavy_Metal.pdf"
2021|"Poster Publications"|"11"|"The European Perspective on Soil Quality"|"The European Perspective on Soil Quality Gergely Tóth, Luca Montanarella, Nicola Filippi, Vladimir Stolbovoy, Senthil Selvaradjou and Florence Carre (2006) The ability of soil to perform any of these functions (on given levels) depends on its physical, biological and chemical attributes (‘internal’ attributes), while the realization of the performance is conditioned by natural (e.g. slope steepness) and/or anthropogenic (e.g. drainage) factors (’external’ factors). The European Perspective on Soil Quality. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/Soil_quality.jpg"|"The European Perspective on Soil Quality;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Soil_quality.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Soil_quality.pdf"
2022|"Poster Publications"|"10"|"Digital Soil Mapping: Developing methodology to monitor and manage soils"|"Digital Soil Mapping: Developing methodology to monitor and manage soils Dobos, E., Carré, F., Hengl, T., Reuter, H.I., Tóth, G., (2006) Digital Soil Mapping – is the computer-assisted production of digital maps of soil type and soil properties. It implies use of mathematical and statistical models that combine information from soil observations with auxiliary information contained in correlated environmental variables and remote sensing images. Digital Soil Mapping: Developing methodology to monitor and manage soils. Download Poster:"|"/ESDB_Archive/eusoils_docs/poster/small/Dsm.jpg"|"Digital Soil Mapping: Developing methodology to monitor and manage soils;download"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Dsm.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/DSM.pdf"
2023|"Poster Publications"|"9"|"Monitoring Heavy metals in three regions of Italy using mosses and soils as a multivariate and GIS approach"|"Monitoring Heavy metals in three regions of Italy using mosses and soils as a multivariate and GIS approach P. Grammatica, E. Giani, E. Papa, D. Preatoni, R.J. A. Jones, L. (2005). 13th International Symposium of MESAEP (Mediterranean Scientific Association of Environmental Protection). Thessaloniki, Greece, 8-12 October 2005. A biomonitoring survey involving the moss Hypnum cupressiforme Hedw. was carried out in three Italian regions, Piedmont, Aosta Valley and Sicily, to evaluate the atmospheric deposition of the elements Cd, Cu, Hg, Ni, Pb and Zn. Monitoring Heavy metals in three regions of Italy using mosses and soils as a multivariate and GIS approach. Download Poster: or contact the Author R. Cenci for more information"|"/ESDB_Archive/eusoils_docs/poster/small/MuschiMESAEP.jpg"|"Monitoring Heavy metals in three regions of Italy using mosses and soils as a multivariate and GIS approach;download;R. Cenci"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/MuschiMESAEP.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/MuschiMESAEP.pdf;mailto:roberto.cenci@jrc.ec.europa.eu"
2024|"Poster Publications"|"8"|"Soils and mosses for the monitoring of trace elements in three landfills"|"Soils and mosses for the monitoring of trace elements in three landfills R. M. Cenci, N. Simonazzi, E. Meglioli, P.R. Trincherini, L. Canovi, V. Guberti. (2005). Sardinia. Tenth International Waste Management and Landfill Symposium. Santa Margherita di Pula 3-7 Ottobre 2005. Soils and mosses for the monitoring of trace elements in three landfills . Download Poster: or contact the Author R. Cenci for more information"|"/ESDB_Archive/eusoils_docs/poster/small/enia.jpg"|"Soils and mosses for the monitoring of trace elements in three landfills;download;R. Cenci"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Enia.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Enia.pdf;mailto:roberto.cenci@jrc.ec.europa.eu"
2025|"Poster Publications"|"7"|"Heavy metals in soils and mosse of Aosta Valley (Italy)."|"Heavy metals in soils and mosse of Aosta Valley (Italy). E. Papa, E. Giani, R.M. Cenci, D. Preatoni, R.J.A. Jones, P. (2005). A multivariate and Gis approach. 10th EUCHEMS-DCE, International Conference on Chemistry and Environment, Rimini 4-7 September 2005. A biomonitoring survey involving the moss Hypnum cupressiforme was carried out throughout territories of Aosta Valley and Piedmont to evaluate the atmospheric deposition of the elements Cd, Co, Cr, Cu, Hg, Mn, Ni, Pb, Ti, V and Zn. Heavy metals in soils and mosse of Aosta Valley (Italy) . Download Poster: or contact the Author R. Cenci for more information"|"/ESDB_Archive/eusoils_docs/poster/small/MuschiFECS_Rimini05.jpg"|"Heavy metals in soils and mosse of Aosta Valley (Italy);download;R. Cenci"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/MuschiFECS_Rimini05.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/MuschiFECS_Rimini05.pdf;mailto:roberto.cenci@jrc.ec.europa.eu"
2026|"Poster Publications"|"6"|"Organic pollutant uptake by vegetable probes and biomonitoring of moss-linked metals in Northern Italy regions."|"Organic pollutant uptake by vegetable probes and biomonitoring of moss-linked metals in Northern Italy regions. P. Gramatica, E. Giani, E., Papa, R.M., Cenci, D. Preatoni. (2005). SETAC Europe, Lille (France) 22-26 May 2005. A biomonitoring survey to evaluate the atmospheric deposition of the elements Cd, Co, Cr, Cu, Hg, Mn, Ni, Pb, Ti, V and Zn was carried out by the moss Hypnum cupressiforme in the Aosta Valley and Piedmont. Organic pollutant uptake by vegetable probes and biomonitoring of moss-linked metals in Northern Italy regions. Download Poster: or contact the Author R. Cenci for more information"|"/ESDB_Archive/eusoils_docs/poster/small/SetacLille.jpg"|"Organic pollutant uptake by vegetable probes and biomonitoring of moss-linked metals in Northern Italy regions;download;R. Cenci"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/SetacLille.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/SetacLille.pdf;mailto:roberto.cenci@jrc.ec.europa.eu"
2027|"Poster Publications"|"5"|"Soil Contamination with PCDD/Fs as a function of different types of landuse in a semi-rural region in Nothern Italy"|"Soil Contamination with PCDD/Fs as a function of different types of landuse in a semi-rural region in Nothern Italy Vives I., Umlauf G., Christoph E., Mariani G., Ghiani M., Skejo H., Cenci R., and Bidoglio G. (2006) Soil Contamination with PCDD/Fs as a function of different types of landuse in a semi-rural region in Nothern Italy. Download Poster: or contact the Author R. Cenci for more information"|"/ESDB_Archive/eusoils_docs/poster/small/Dioxine2006_Pavia.jpg"|"Soil Contamination with PCDD/Fs as a function of different types of landuse in a semi-rural region in Nothern Italy;download;R. Cenci"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Dioxine2006_Pavia.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Dioxine2006_Pavia.pdf;mailto:roberto.cenci@jrc.ec.europa.eu"
2028|"Poster Publications"|"4"|"Northern Circumpolar Soil Atlas"|"Northern Circumpolar Soil Atlas Stolbovoy Vladimir (2007) The permafrost regions of the world are occupied by CRYOSOILS. These regions are at high latitudes and also at high elevations which are remote or uncomfortable for people to live. Northern Circumpolar Soil Atlas. Download Poster: or contact the Author V. Stolbovoy for more information"|"/ESDB_Archive/eusoils_docs/poster/small/NothernCircumpolar.jpg"|"Northern Circumpolar Soil Atlas;download;V. Stolbovoy"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/NothernCircumpolar.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/NothernCircumpolar.pdf;mailto:vladimir.stolbovoy@jrc.ec.europa.eu"
2029|"Poster Publications"|"3"|"Soil Sampling to Certify the Changes of Organic Carbon in Mineral Soils"|"Soil Sampling to Certify the Changes of Organic Carbon in Mineral Soils Stolbovoy Vladimir, Luca Montanarella, Nicola Filippi, Senthil-Kumar Selvaradjou and Javier Gallego. Many soil functions are driven by the soil organic carbon (SOC) content, (e.g. fertility, buffering capacity, adsorption and absorption of chemicals, filtering to maintain water quality, regulation of atmospheric gas composition, etc.). Download Poster: or contact the Author V. Stolbovoy for more information"|"/ESDB_Archive/eusoils_docs/poster/small/Soil_Sampling.jpg"|"download;V. Stolbovoy"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Soil_Sampling.pdf;mailto:vladimir.stolbovoy@jrc.ec.europa.eu"
2030|"Poster Publications"|"2"|"The European Soil Portal: Networking Soil Information in Europe"|"The European Soil Portal: Networking Soil Information in Europe Marc Van Liedekerke, Panos Panagos, Luca Montanarella (2005). The European Soil Database is the main source of information from which most other data information and services are derived. The European Soil Database is the central dissemination point for data related to soils and is the main data reference for all soil data collected at European level during the last 20 years. The European Soil Portal: Networking Soil Information in Europe . Download Poster: or contact the Author P. Panagos for more information"|"/ESDB_Archive/eusoils_docs/poster/small/Eusoils.jpg"|"The European Soil Portal: Networking Soil Information in Europe;download;P. Panagos"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Eusoils.pdf;http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Eusoils.pdf;mailto:panos.panagos@jrc.ec.europa.eu"
2031|"Poster Publications"|"1"|"PCDD/Fs and persisten inorganic Contaminants in superficial soils of a semi-rural region in Nothern Italy - Land Use Evaluation"|"PCDD/Fs and persisten inorganic Contaminants in superficial soils of a semi-rural region in Nothern Italy - Land Use Evaluation Vives I., Umlauf G., Christoph E., Mariani G., Mueller A., Ghiani M., Skejo H., Cenci R., Sena F. and Bidoglio G. Polychlorinated dibenzo-p-dioxins and furans (PCDD/Fs) are, among others, persistent organic pollutants listed in the Stockholm Convention. They are released into environment through combustion emissions. Atmospheric deposition is the main route for the vast majority of PCDD/Fs entering soils. Download Poster: or contact the Author R. Cenci for more information"|"/ESDB_Archive/eusoils_docs/poster/small/dioxines_Pavia.jpg"|"download;R. Cenci"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Poster/Dioxines_Pavia.pdf;mailto:roberto.cenci@jrc.ec.europa.eu"
