"ID"|"Group"|"No"|"Title"|"Description"|"Image"|"Download_lbl"|"Download_lnk"
3010|"Various Documents"|"46"|"Effects of climate change on the soil erosion risk in alpine areas - The Global Land Project"|"Effects of climate change on the soil erosion risk in alpine areas - The Global Land Project GLP Newsletter No 4 , October 2008 Claudio Bosco, Ezio Rusco and Luca Montanarella Soil erosion is of primary importance in mountains. The main research methodologies focus on erosion in an agricultural context or in hilly areas with a mild climate. Therefore their application in mountain areas with their extreme complexity is not straightforward. This article discusses the result of a study which has used the Revised Universal Soil Loss Equation (RUSLE) model to predict future soil erosion risk in the Alps. Download the article or get the whole Newsletter"|""|"article;Newsletter"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Erosion_GLP2008_04.pdf;http://www.globallandproject.org/Newsletters/GLP2008_04.pdf"
3011|"Various Documents"|"45"|"The Global Change Research Network in European Mountains (MRI Europe) - News from the European Soil Portal"|"The Global Change Research Network in European Mountains (MRI Europe) - News from the European Soil Portal MRI Europe Newsflash, October 2008 Panos Panagos (EU Joint Research Centre of Ispra) Download the Newsletter"|""|"Newsletter"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/MRIEurope_Flash_October08.pdf"
3012|"Various Documents"|"44"|"Il suolo come sistema biologico compleso"|"Il suolo come sistema biologico compleso Article of Ernesto Ladi , President of Biologi Italiani Biologi Italiani, July 2008 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Biologiitaliani072008.pdf"
3013|"Various Documents"|"43"|"Le strategie di monitoraggio dei suoli applicate nella Provincia di Pavia"|"Le strategie di monitoraggio dei suoli applicate nella Provincia di Pavia Lo Sviluppo di strategie sinergiche di monitoraggio dei suoli di solito e fortemente influenzato dalla necessita di essere rappresentative per grandi aree. Questo puo date luogo af avere minore attenzione alla stima dell'errore analytico. Biologi Italiani, March 2008 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/3163.pdf"
3014|"Various Documents"|"42"|"The European Soil Portal - Ç ÅÕÑÙÐÁÉÊÇ ÅÄÁÖÏËÏÃÉÊÇ ÐÕËÇ."|"The European Soil Portal - Ç ÅÕÑÙÐÁÉÊÇ ÅÄÁÖÏËÏÃÉÊÇ ÐÕËÇ. Presenation of the European Soil Portal (Data, Documents, Maps, Projects and Themes) to the Greek Scientific Public. Greek Geographic Informations Systems (Hellas GIS) Journal, Edition 02/2007 , Volume of Journal 3 , Athens , Greece Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Article_Greek_GIS.pdf"
3015|"Various Documents"|"41"|"Il Progetto Pavia: Risultati bio-chimico-fisici per valutare la salute del suolo"|"Il Progetto Pavia: Risultati bio-chimico-fisici per valutare la salute del suolo Atti del Convegno Nationale ""Societa Italiana della Scienza del Suolo"" Imola, 27-30 June 2006 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/3162.pdf"
3016|"Various Documents"|"40"|"Methodiche di identificazione, raccolta e campionamento dei suoli."|"Methodiche di identificazione, raccolta e campionamento dei suoli. R.M Cenci et Al. La Cultura e le tecnologie ambientali in Italia ed in Europa Ecomondo, Rimini 2007 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/3161.pdf"
3017|"Various Documents"|"39"|"Biondicazioni e Biodiversita per valutare l' ambiente, limiti e vantaggi."|"Biondicazioni e Biodiversita per valutare l' ambiente, limiti e vantaggi. R.M Cenci et Al. La Cultura e le tecnologie ambientali in Italia ed in Europa Ecomondo, Rimini 2007 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/3160.pdf"
3018|"Various Documents"|"38"|"EURO - Soils: Identification, Collection, Treatment, Characterization"|"EURO - Soils: Identification, Collection, Treatment, Characterization H. Muntau and G.Kuhnt Environment Institute of the European Commission, Special Publication 19460. Download the Book"|""|"Book"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/EURO_SOILS.pdf"
3019|"Various Documents"|"37"|"The use of mosses as bioindicators in order to draw up the environmental impact study for urban waste landfill"|"The use of mosses as bioindicators in order to draw up the environmental impact study for urban waste landfill R.M Cenci et Al. Procceedings Sardinia 2001, Eigth International Waste Management and Landfill Symposium Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/377.pdf"
3020|"Various Documents"|"36"|"Distribuzione di metalli pesanti e radionuclidi in suoli e muschi di un' area di discarica dell' Apennino Reggiano"|"Distribuzione di metalli pesanti e radionuclidi in suoli e muschi di un' area di discarica dell' Apennino Reggiano R.M Cenci et Al. Distribution of heavy metals in soils and mosses of an area of rubbish dump of the Apennino Reggiano La scienza del suolo per l' ambiente, Venezia, June 2000 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/375.pdf"
3021|"Various Documents"|"35"|"Utilizzo di bioindicatori in Italia e in Europa: Trenta anni di storia"|"Utilizzo di bioindicatori in Italia e in Europa: Trenta anni di storia R.M Cenci et Al. Use of bioindicators in Italy and Europe: Thirty years of History Seconda Giornata per l' ambiente (organised by ICEf and ANPA) Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/371.pdf"
3022|"Various Documents"|"34"|"Monitoraggio in elementi in traccia nei siti contaminati utilizzanto muschi della speccie Hypnum cupressiforme"|"Monitoraggio in elementi in traccia nei siti contaminati utilizzanto muschi della speccie Hypnum cupressiforme R.M Cenci et Al. Monitoring elements situated in contaminated sites using the mosses ""Cupressiforme Hypnum"" International Workshop, Contaminated sites Assessment, Province of Milan, 2000 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/370a.pdf"
3023|"Various Documents"|"33"|"Il comportamento di Cd, Hg, Ni e Pb nel particolato e nei sedimenti del Delta del fiume Mekong"|"Il comportamento di Cd, Hg, Ni e Pb nel particolato e nei sedimenti del Delta del fiume Mekong R.M Cenci et Al. The behavior of Cd, Hg, Ni and Pb in the particles and sediments of the Delta in the Mekong river. Conference of Oceonologia e Limnologia, October 1999 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/359.pdf"
3024|"Various Documents"|"32"|"Mosses used to monitor trace elements in micro and macro areas"|"Mosses used to monitor trace elements in micro and macro areas R.M Cenci et Al. International Conference, Sardinia 1999 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/357.pdf"
3025|"Various Documents"|"31"|"Proposte metodologiche per l' uso di briofite come bioaccumulatori in metalli in traccia"|"Proposte metodologiche per l' uso di briofite come bioaccumulatori in metalli in traccia R.M Cenci et Al. Methodological proposals for the briofite use as bioaccumulators in trace metals Agenzia nationale per la protezione dell' ambiente, 1999 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/354.pdf"
3026|"Various Documents"|"30"|"Impiego di briofite per il monitoraggio della qualita dell' area: problematiche generali e stato dell' arte in Italia"|"Impiego di briofite per il monitoraggio della qualita dell' area: problematiche generali e stato dell' arte in Italia R.M Cenci et Al. Use of Briofite for the monitoring of the area quality: General opinions and state of the art in Italy Agenzia nationale per la protezione dell' ambiente, 1999 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/353.pdf"
3027|"Various Documents"|"29"|"Muschi e suoli quali indicatori delle deposizioni atmosferiche di origine antropica"|"Muschi e suoli quali indicatori delle deposizioni atmosferiche di origine antropica R.M Cenci et Al. Mosses and soils as indicators of atmospheric depositions Biologi Italiani, December 1998 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/349.pdf"
3028|"Various Documents"|"28"|"Le deposizioni atmosferiche in una micro-area, valutate utilizzanto suoli e muschi"|"Le deposizioni atmosferiche in una micro-area, valutate utilizzanto suoli e muschi R.M Cenci et Al. The atmospheric depositions in an micro-area, estimated ussing soils and mosses Biologi Italiani, November 1998 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/348.pdf"
3029|"Various Documents"|"27"|"L' uso di licheni e muschi come bioindicatori per il monitoraggio dell' inquinamento dell' aria"|"L' uso di licheni e muschi come bioindicatori per il monitoraggio dell' inquinamento dell' aria R.M Cenci et Al. The use of licheni moss like bioindicators for the monitoring of the air pollution Ordini nationale dei biologi, 1995 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/343.pdf"
3030|"Various Documents"|"26"|"L' impiego dei muschi terrestro e del suolo per valutare le deposizioni atmosferiche di origine antropica"|"L' impiego dei muschi terrestro e del suolo per valutare le deposizioni atmosferiche di origine antropica R.M Cenci et Al. The use of mosses and soils in order to estimate the atmospheric depositions Inquinamento 1997 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/340.pdf"
3031|"Various Documents"|"25"|"Assessment of trace metal mobility by sequential leaching: Case study southern Lake Maggiore"|"Assessment of trace metal mobility by sequential leaching: Case study southern Lake Maggiore R.M Cenci et Al. Conference of Oceonologia e Limnologia , October 1994 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/335.pdf"
3032|"Various Documents"|"24"|"Muschi e suoli per il controlo della contaminazione ambientale da metalli"|"Muschi e suoli per il controlo della contaminazione ambientale da metalli R.M Cenci et Al. Mosses and soils for the control of the environmental contamination of heavy metals La citta e L' ENEL , November 1994 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/332.pdf"
3033|"Various Documents"|"23"|"La Radioattivita ambientale nell'area del Mar Mediterraneo"|"La Radioattivita ambientale nell'area del Mar Mediterraneo R.M Cenci et Al. Environmental radioactivity in the area of the Mediterranean Sea Acqua - Aria, January 1994 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/326.pdf"
3034|"Various Documents"|"22"|"Elementi in tracce nei sedimenti della Baia di Pallanza, Lago Maggiore"|"Elementi in tracce nei sedimenti della Baia di Pallanza, Lago Maggiore R.M Cenci et Al. Elements in traces in sediments of the Bay of Pallanza, Lake Maggiore International Conference, May 1994 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/324.pdf"
3035|"Various Documents"|"21"|"Distribuzione di cinque elementi in tracce nei sedimenti della baia di Pallanza"|"Distribuzione di cinque elementi in tracce nei sedimenti della baia di Pallanza R.M Cenci et Al. Distribution of five elements in traces in sediments of the bay of Pallanza University of Sassari, 1993 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/322.pdf"
3036|"Various Documents"|"20"|"Il muschio Fontanalis Antipyretica utilizzato quale biondicatore di inquinamento nelle acque da mercurio e piombo"|"Il muschio Fontanalis Antipyretica utilizzato quale biondicatore di inquinamento nelle acque da mercurio e piombo R.M Cenci et Al. The moss Fontanalis Antipyretica used as biondicator of pollution in waters of mercury and lead University of Sassari, 1993 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/321.pdf"
3037|"Various Documents"|"19"|"Muschi acquatici quali bioindicatori della contaminazione da elementi in trace"|"Muschi acquatici quali bioindicatori della contaminazione da elementi in trace R.M Cenci et Al. Aquatic mosses as bioindicators of the contamination from elements in trace. Cultura e Scuola , n. 126 , June 1993 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/319.pdf"
3038|"Various Documents"|"18"|"I sedimenti del Lago di Varese, distribuzione di elementi maggiori, metalli in traccia ed elementi rari"|"I sedimenti del Lago di Varese, distribuzione di elementi maggiori, metalli in traccia ed elementi rari R.M Cenci et Al. The sediments of the Lago of Varese, rare distribution of major elements Acqua - Aria , Vol 5, 1992 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/311.pdf"
3039|"Various Documents"|"17"|"Characterisation du chimisme des eaux superficielles des bassins sud et de pallanza du Lac Majeur (ITALIE)"|"Characterisation du chimisme des eaux superficielles des bassins sud et de pallanza du Lac Majeur (ITALIE) R.M Cenci et Al. Characterisation of the chimism of surface waters of the southern basins and Lake Maggiore (Italy) Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/31.pdf"
3040|"Various Documents"|"16"|"Heavy Metal inventory and spatial variability of aquatic ecosystem"|"Heavy Metal inventory and spatial variability of aquatic ecosystem R.M Cenci et Al. heavy Metals in the Environment (International Conference in Athens, 1985) Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/33.pdf"
3041|"Various Documents"|"15"|"Spatial distribution patterns of metals in the surface sediments of Lake Orta, Italy"|"Spatial distribution patterns of metals in the surface sediments of Lake Orta, Italy R.M Cenci et Al. The science of Total Environment, 87/88 (1989) 117 - 128 , Elsevier Science Publishers Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/35.pdf"
3042|"Various Documents"|"14"|"Mercury deposition history of Pallanza Bay, Lake Maggiore, Italy"|"Mercury deposition history of Pallanza Bay, Lake Maggiore, Italy R.M Cenci et Al. Environmental Technology, Vol. 13 pp 705 - 712, 1991 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/38.pdf"
3043|"Various Documents"|"13"|"L' Utilizzo dei muschi acquatici quali bioindicatori"|"L' Utilizzo dei muschi acquatici quali bioindicatori R.M Cenci et Al. Use of aquatic mosses as bioindicators Ecologia , September 1992, Conference Proceedings of Italian Society of Ecology Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/313.pdf"
3044|"Various Documents"|"12"|"L' Utilizzo dei muschi acquatici quali bioindicatori di inquinamento nelle acque da parte di metalli pesanti"|"L' Utilizzo dei muschi acquatici quali bioindicatori di inquinamento nelle acque da parte di metalli pesanti R.M Cenci et Al. Use of aquatic mosses as bioindicators of pollution in waters from part of heavy metals Inquinamento , January 1993, Volume 1 Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/317.pdf"
3045|"Various Documents"|"11"|"Confronto della chimica dei sedimenti di due zone del Lago Maggiore"|"Confronto della chimica dei sedimenti di due zone del Lago Maggiore R.M Cenci et Al. Comparison of chemistry of sediments of two zones of Lake Maggiore (ITALY) Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/318.pdf"
3046|"Various Documents"|"10"|"Platino, Palladio, Rodio ed elementi in tracce in suoli e muschi della Valle d' Aosta"|"Platino, Palladio, Rodio ed elementi in tracce in suoli e muschi della Valle d' Aosta R.M Cenci et Al. Platinum, Palladium, Rodio and elements in traces in grounds and mosses of Aosta Valley Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/aosta2.pdf"
3047|"Various Documents"|"9"|"Distribuzione di metalli pesanti in suoli e muschi di Piemonte e Sicilia: Analysi mediante metodi chemiometrici"|"Distribuzione di metalli pesanti in suoli e muschi di Piemonte e Sicilia: Analysi mediante metodi chemiometrici R.M Cenci et Al. Distribution of heavy metals in soils and mosses of Piemonte and Sicily Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/PiemonteSicilia.pdf"
3048|"Various Documents"|"8"|"Studio di monitoraggio ambientale dell' area interessata dal termovalorizzatore sito del Comunde di Parona"|"Studio di monitoraggio ambientale dell' area interessata dal termovalorizzatore sito del Comunde di Parona R.M Cenci et Al. Study of Environmental Monitoring in the interested area of Parona Commune (Pavia) Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Parona10.pdf"
3049|"Various Documents"|"7"|"Studio di monitoraggio ambientale dell' area del Comunde di Parona ( - Elementi idagati: Al , Cd, Cr, Cu, Hg, Ni, Pb e Zn"|"Studio di monitoraggio ambientale dell' area del Comunde di Parona ( - Elementi idagati: Al , Cd, Cr, Cu, Hg, Ni, Pb e Zn R.M Cenci et Al. Study of Environmental Monitoring in the Parona Commune (Pavia) Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Parona3.pdf"
3050|"Various Documents"|"6"|"Studio di monitoraggio ambientale dell' area del Comunde di Parona (PV)"|"Studio di monitoraggio ambientale dell' area del Comunde di Parona (PV) R.M Cenci et Al. Study of Environmental Monitoring in the Parona Commune (Pavia) Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Parona1.pdf"
3051|"Various Documents"|"5"|"Rateo di deposizione e origine delle ricadute di elementi in tracce nell' appenino Tosco-Emiliano valutate su muschi e orizzonti pedologici di superficie"|"Rateo di deposizione e origine delle ricadute di elementi in tracce nell' appenino Tosco-Emiliano valutate su muschi e orizzonti pedologici di superficie R.M Cenci et Al. Rate of deposition and origin of the fallen elements in traces in Apenines Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Appenino.pdf"
3052|"Various Documents"|"4"|"Origini dei Metalli Pesanti veicolati ai suoli italiani: Stime e confronto"|"Origini dei Metalli Pesanti veicolati ai suoli italiani: Stime e confronto R.M Cenci et Al. Origins of the Heavy Metals to Italian soils: Estimations and comparison Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/HeavyMetal.pdf"
3053|"Various Documents"|"3"|"Distribuzione di metalli pesanti in suoli e muschi della Sicilia"|"Distribuzione di metalli pesanti in suoli e muschi della Sicilia R.M Cenci et Al. Distribution of heavy metals in grounds and mosses of the Sicily Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/Sicilia6.pdf"
3054|"Various Documents"|"2"|"Monitoraggio ambientale antecedente l' entrata in funzione di un termodistruttore"|"Monitoraggio ambientale antecedente l' entrata in funzione di un termodistruttore R.M Cenci et Al. Environmental Monitoring before the entrance in function of Power Plants Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/ttr_Trezzo.pdf"
3055|"Various Documents"|"1"|"Transetti autostradali: elementi in traccia e contaminanti organici (IPA) valutati mediante muschi e suoli superfiaciali."|"Transetti autostradali: elementi in traccia e contaminanti organici (IPA) valutati mediante muschi e suoli superfiaciali. R.M Cenci et Al. Highways: organic elements in trace and polluting agents (IPA) estimated by means of mosses and superfiac grounds Download the article"|""|"article"|"http://eusoils.jrc.ec.europa.eu/ESDB_Archive/eusoils_docs/Various/TransettiAutostradali.pdf"
